Loaded fvecs: 1000 vectors of dimension 128 from /root/work/data/filterbenchmark/ytb_audio/ytb_audio_query_and.fvecs
Loaded label sets: 1000
Loaded label sets: 5000000
Loaded fvecs: 5000000 vectors of dimension 128 from /root/work/data/filterbenchmark/ytb_audio/ytb_audio_base.fvecs
Rebuilding two-tier inverted index for 498335 labelsets...
Found 3862 unique labels
Two-tier index configuration:
  Tier 1 (dense): 1683 labels (freq >= 202)
  Tier 2 (sparse): 2179 labels
  Tier 1 memory: 0.0976437 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 1000
Example: first query has 10
3444340,4222350,2597462,1672995,3070603,1670387,3673399,3415431,1333262,1287160,
ef,recall,qps,dist_comp,hops
1700,0.8933,171.876,15629.9,1665.59
1400,0.8828,189.113,13131.1,1376.05
1100,0.8691,237.937,10569.9,1085.56
1000,0.864,277.479,9704.39,988.803
900,0.8586,329.838,8831.72,892.097
800,0.8517,369.892,7949.13,794.953
700,0.843,409.386,7056.05,697.823
600,0.8338,425.282,6154.17,600.406
500,0.8219,547.556,5231.94,502.464
400,0.8046,707.243,4308,405.208
300,0.7852,921.682,3368.77,308.294
250,0.7714,1086.5,2887.09,259.808
200,0.7559,1320.91,2396.75,211.212
180,0.7447,1446.48,2195.95,191.669
160,0.7335,1597.77,1992.83,171.992
140,0.7215,1790.31,1787.74,152.528
120,0.7023,2040.6,1575.11,132.666
100,0.6798,2381.1,1359.68,112.822
90,0.6664,2595.55,1249.22,102.735
80,0.6519,2852.43,1138.01,92.754
70,0.6385,3163,1029.97,83.077
60,0.6201,3503.34,913.503,72.629
55,0.6086,3802.53,859.326,67.653
50,0.5954,4075.82,802.11,62.492
45,0.5829,4391.91,745.661,57.494
40,0.5676,4748.86,689.505,52.503
35,0.5472,5188.34,629.41,47.271
30,0.5343,5521.16,592.666,44.111
25,0.5343,5502.77,592.653,44.103
20,0.5343,5510.99,592.647,44.098
15,0.5343,5507.88,592.639,44.093
10,0.5343,5508.86,592.603,44.088
