nprobe,recall,qps
1,0.1121,27.3
2,0.1822,27.7
3,0.2420,27.4
5,0.3259,27.3
10,0.4657,27.3
20,0.6218,27.3
30,0.7109,27.5
50,0.8132,26.9
100,0.9215,26.8
200,0.9760,26.1
500,0.9976,24.3
1000,1.0000,22.7
